Type,Lots,EntryBarNum,ExitBarNum,OrderPrice,ExitLimitPrice
LONG,1099.48,20595,20603,148.83,152.84
LONG,328.47,20604,20610,154.64,160.24
LONG,198.68,20611,20618,159.97,164.46
LONG,169.49,20619,20627,162.39,166.37
LONG,136.81,20628,20629,166.45,173.98
LONG,105.43,20630,20666,172.32,177.89
LONG,87.77,20667,20865,179.16,159.66
LONG,306.04,20923,20939,173.21,179.79
SHORT,681.44,20924,20929,167.13,171.69
LONG,189.77,20940,20963,179.69,186.19
LONG,270.59,20966,21089,177.91,170.18
SHORT,697.03,21005,21027,172.39,177.56
SHORT,163.46,21139,21148,157.86,153.3
SHORT,125.51,21149,21286,152.54,146.2
SHORT,99.49,21287,21399,141.82,161.53
LONG,375.54,21408,21455,163.89,153.23
SHORT,924.67,21450,21452,157.02,160.02
SHORT,539.79,21454,21459,154.84,145.57
SHORT,165.46,21460,21532,143.33,156.56
SHORT,279.04,21596,21644,145.55,138.37
SHORT,114.21,21688,21826,128.74,146.57
LONG,256.67,21931,22102,153.13,157.27
LONG,305.08,22103,22124,156.04,160.9
LONG,239.25,22125,22128,159.07,163.83
LONG,161.17,22129,22267,164.7,172.56
LONG,133.42,22268,22299,173.64,179.81
LONG,105.98,22300,22374,180.6,186.71
LONG,108.36,22375,22380,185.76,191.59
LONG,91.11,22381,22386,191.22,196.79
LONG,82.3,22387,22396,195.15,202.09
LONG,70.23,22397,22596,201.95,179.12
SHORT,433.85,22613,22632,180.35,173.82
SHORT,186.96,22633,22643,172.89,167.62
SHORT,135.97,22644,22657,167.34,161.28
SHORT,111.29,22658,22677,162.71,156.63
SHORT,94.46,22678,22814,157.44,177.65
LONG,650.97,22817,22835,176.51,181.38
LONG,265.3,22836,22917,182.27,188.18
LONG,134.49,22918,22925,190.64,198.58
LONG,99.54,22926,22949,197.73,207.09
LONG,73.9,22950,23081,207.94,178.57
SHORT,478.71,23130,23153,181.65,191.7
LONG,268.24,23153,23158,191.7,198.97
LONG,153.84,23159,23168,199.61,207.54
LONG,113.78,23169,23291,206.54,214.24
SHORT,332.14,23231,23253,186.29,194.86
LONG,117.72,23292,0,211.6,0.0
